frame.len,frame.time_delta,ip.hdr_len,ip.len,ip.flags.mf,ip.flags.rb,ip.flags.df,ip.ttl,ip.proto,udp.length,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,arp.opcode,arp.hw.size,arp.pro.size,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,mqtt.msg,mqtt.msgtype,mqtt.retain,mqtt.proto_le,mqtt.hdrflags,mqtt.conflags,coap.code,coap.type,modbus.func_code,modbus.regval_uint16,modbus.reference_num,http.content_length,http.request.method,dns.count.answers,mbtcp.len,label
368,1.2192769298205932,20,312,0,0,1,67,1,0,0,0,10,42393949,0,0,0,0,0,0,0,0,39996,7,544579343,1,0,0,0,0,0,0,0,0,0,384,91,0,0,1,Normal
1199,1.4341155604433544,20,1172,0,0,0,53,1,19,84,0,28,17678000,0,0,0,0,0,0,0,0,24216,159,12752558,1,0,0,0,0,0,0,0,0,0,625,4,0,0,0,Normal
692,0.3231699668484248,20,677,0,0,1,34,6,26,23865,0,901,179138685,1,0,0,0,1,0,0,0,888,0,0,0,0,0,0,1,2,0,0,0,40,355,3889,4,0,0,Normal
785,0.5360737755590963,20,755,0,0,0,58,6,23,63680,8923,1054,92501028,1,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,2068,0,0,0,Normal
660,1.4550710702028005,20,668,0,0,1,255,6,28,28151,8492,1242,1471873844,1,0,1,1,1,0,0,0,290,4,6137321,0,0,0,0,0,0,0,0,0,0,0,1494,1,0,3,Normal
1412,0.3330065271944518,20,1371,0,0,1,69,17,1452,50009,0,11,9118588,0,0,0,0,0,0,0,0,0,0,23715878,1,0,0,0,1,0,0,0,0,298,307,117,0,1,0,DoS_TCP
1451,1.465653,20,1437,0,0,1,128,6,0,25857,443,693,902962666,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,4,0,0,Port_Scanning
149,0.9914032090937734,20,115,0,0,1,62,17,891,10554,21059,0,0,0,0,0,0,0,0,0,0,913,0,0,1,0,0,0,0,5,0,0,0,0,0,28,0,0,1,Normal
1449,0.1656002549838302,20,1430,0,0,0,132,5,6,33130,1725,1144,1458906609,0,0,1,1,1,0,0,0,805,1,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,Normal
1454,0.575484523163588,20,1423,0,0,0,33,1,0,0,385,13,26521406,0,0,0,0,0,0,0,0,40525,197,646878082,0,0,0,0,4,2,0,0,0,293,645,5,0,0,1,Normal
1193,0.26158740664685826,20,1205,0,0,0,57,6,35,43226,8389,64,1150176665,0,0,1,1,1,0,0,0,1277,0,2018376,0,0,0,0,0,1,0,0,0,530,0,2917,0,0,1,DoS_TCP
224,1.4764149624864542,20,212,0,0,0,253,6,11,12942,931,1162,1652685604,1,1,0,0,1,0,0,0,974,0,3848630,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,Normal
1055,1.1309009992705712,20,1023,0,0,0,56,6,0,40400,1195,1381,1206632882,1,0,0,0,1,0,0,0,0,1,18362800,0,0,0,0,0,1,0,0,2,8079,26170,0,0,0,74,Normal
143,0.6580859857741362,20,131,0,0,1,132,1,43,1343,0,0,0,0,0,0,0,0,0,0,0,37548,183,980319173,0,0,0,0,0,0,0,0,0,507,730,0,0,0,0,Normal
813,1.415821905382145,20,810,0,0,1,122,6,18,37220,25799,1106,1684033657,1,1,1,1,1,0,0,0,99,2,0,0,0,0,0,2,0,0,0,0,801,0,54,0,0,0,Scanning
683,1.095671536888395,20,736,0,0,0,122,1,0,0,33,0,1050816,0,0,0,0,0,0,0,0,53390,68,621073989,0,0,0,0,1,1,0,0,0,125,0,30,0,0,0,Scanning
1399,0.6213000209754336,20,1356,0,0,0,136,6,0,57149,411,675,1897616726,1,0,1,0,1,0,0,0,0,3,12422454,0,0,0,0,1,0,0,0,11,37660,26133,82,0,0,32,Normal
1017,0.777149115085382,20,1002,0,0,1,64,17,740,36901,619,21,0,0,0,0,0,0,0,0,0,971,4,7448666,0,0,0,0,4,0,0,0,22,31146,22289,0,0,0,200,Normal
1079,0.5731722112255271,20,1080,0,0,1,61,1,4,0,0,1,18416373,0,0,0,0,0,0,0,0,59585,15,60652668,0,0,0,0,0,0,0,0,0,359,252,0,0,0,0,Port_Scanning
1446,0.11547628705812389,20,1484,0,0,0,61,6,8,44956,232,683,103094627,1,0,1,1,1,0,0,0,852,2,0,0,0,0,0,1,0,0,0,0,286,0,0,0,0,0,Normal
1357,1.06565,20,1343,0,0,1,128,6,0,57926,5683,863,1738485570,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Normal
406,0.8643795555268664,20,350,0,0,1,63,6,0,11722,321,1001,295354660,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,61916,21197,0,0,0,161,Normal
504,0.05514956914913431,20,535,0,0,0,255,1,15,0,0,0,0,0,0,0,0,0,0,0,0,2988,63,307301145,0,0,0,0,0,0,0,0,0,818,105,10,0,0,1,DoS_TCP
262,1.248851519278837,20,218,0,0,0,132,6,0,41578,673,852,1867662065,1,1,0,0,1,0,0,0,0,3,7979578,0,0,0,0,3,1,0,0,12,2497,42151,0,0,0,201,Password
1368,1.4557112486938626,20,1364,0,0,1,68,6,6,39536,8983,806,1995702244,0,1,0,1,1,0,0,0,348,5,0,0,0,0,0,0,0,0,0,0,96,223,4082,1,0,0,Port_Scanning
332,1.2944087360752434,20,327,0,0,0,63,17,298,10832,0,0,44856698,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,2,0,0,0,36,0,0,0,8,0,Port_Scanning
913,0.3619209594815775,20,901,0,0,0,63,6,14,15892,8,910,539841359,0,1,1,1,1,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,3910,3,0,0,Normal
1329,0.059109,20,1315,0,0,1,64,6,0,19551,443,1019,853180912,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,1,0,0,Normal
843,0.5805549752174378,20,817,0,0,1,32,6,0,2712,6137,620,1699163417,1,0,1,0,1,0,0,0,1344,0,0,0,0,0,0,1,0,3,0,0,0,329,0,0,0,0,DoS_UDP
1002,1.2635951412554003,20,978,0,0,0,32,6,0,24317,8695,1010,480463521,0,0,1,0,1,0,0,0,886,2,0,24,5,0,5,39,10,0,0,0,522,857,40,0,0,1,Normal
820,0.09158791881377668,20,844,0,0,0,255,1,0,0,0,34,0,0,0,0,0,0,0,0,0,61678,60,540142674,0,0,0,0,0,2,0,0,0,118,0,0,0,0,0,Normal
1025,1.026599,20,1011,0,0,1,255,6,0,23211,502,1330,344951668,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8968,30771,0,0,0,167,DoS_TCP
1184,0.5396570066401406,20,1168,0,0,1,64,6,0,5360,0,991,1521915622,0,0,1,1,1,0,0,0,1196,3,0,0,0,0,0,1,0,0,0,0,948,0,14,0,0,0,Normal
709,1.283216480064067,20,708,0,0,0,32,6,29,30959,8374,180,1671803552,0,1,1,1,1,0,0,0,0,0,0,6,5,1,3,134,111,0,0,0,305,0,129,0,0,3,Normal
712,0.3148831702759746,20,670,0,0,1,32,6,8,24051,0,931,136546262,1,0,0,0,1,0,0,0,439,0,14567202,1,0,0,0,1,0,0,0,0,0,108,4043,4,0,0,Normal
1429,0.819897,20,1415,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60981,147,727579147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
834,0.08470228126678567,20,803,0,0,0,123,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,191,9647953,0,0,0,0,0,3,0,0,0,539,0,128,0,0,0,DoS_UDP
1233,0.8638243207212559,20,1184,0,0,0,122,1,7,406,60,0,0,0,0,0,0,0,0,0,0,39407,234,432204207,0,0,0,0,3,0,0,0,0,101,225,0,0,0,3,Password
1014,0.7967599605676158,20,1001,0,0,1,64,17,783,34684,130,0,5790206,0,0,0,0,0,0,0,0,858,0,1879810,0,0,0,0,1,3,0,0,22,31103,22014,0,0,0,199,Normal
1218,0.13396134689537206,20,1210,0,0,0,62,1,0,1413,1160,0,11022974,0,0,0,0,0,0,0,0,47519,226,128080649,1,0,0,0,2,4,0,0,0,0,0,0,0,0,1,Normal
164,1.3923796755132698,20,237,0,0,1,113,6,0,63863,8444,629,1822657953,1,1,1,1,1,2,6,4,675,0,18299565,0,0,0,0,0,0,0,0,0,183,0,4199,4,0,0,Normal
1410,1.0749760915743964,20,1416,0,0,1,126,6,0,41505,0,158,580786374,0,0,1,0,1,0,0,0,476,0,18387748,0,0,0,0,0,1,0,0,0,317,0,125,0,0,1,DoS_TCP
1375,0.7781125990062513,20,1364,0,0,0,251,6,0,18788,798,488,1415135683,1,0,0,0,1,0,0,0,568,3,11912664,1,0,0,0,2,0,0,0,6,20993,2971,19,0,0,128,Fingerprinting
523,0.5000632115009194,20,538,0,0,0,120,17,1432,23053,893,0,0,0,0,0,0,0,0,0,0,0,3,1206545,0,0,0,0,0,4,0,0,0,0,0,2498,0,0,0,Normal
138,1.1775163776553623,20,79,0,0,0,252,6,0,52505,9392,1063,285719677,1,0,1,1,1,0,0,0,0,3,0,9,8,0,2,82,136,0,0,0,46,0,15,0,0,2,Normal
762,0.8715837549285856,20,765,0,0,1,121,5,0,64990,53,148,1468356505,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,Scanning
255,0.09916078014888571,20,240,0,0,0,32,16,920,65331,0,0,0,0,0,0,0,0,0,0,0,114,0,12521457,0,0,0,0,0,0,0,0,0,0,488,2474,0,0,2,Normal
385,1.4669022061028294,20,390,0,0,0,118,6,12,33202,6560,772,1849020276,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,685,231,0,0,0,0,Scanning
423,0.901833617904886,20,439,0,0,0,75,17,1223,9568,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,392,742,4918,4,0,0,Normal
377,0.16631168013122355,20,386,0,0,1,125,1,22,6,0,0,0,0,0,0,0,0,0,0,0,7925,47,898951618,0,0,0,0,0,1,0,0,0,362,277,46,0,0,1,DoS_UDP
152,1.357177166162004,20,125,0,0,0,69,17,1357,11728,8734,0,1349796,0,0,0,0,0,0,0,0,0,4,11032137,59,2,1,3,96,251,0,0,0,47,12,70,0,0,0,Normal
882,1.033376376575006,20,867,0,0,0,122,17,800,13616,531,0,0,0,0,0,0,0,1,6,4,0,3,9952972,0,0,0,0,3,2,0,0,15,56888,50751,41,0,0,7,DoS_UDP
876,0.3657967218814672,20,872,0,0,0,60,6,6,15640,275,997,440061344,0,1,1,1,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,209,0,3971,3,0,0,Normal
1000,0.200902,20,986,0,0,1,128,6,0,15123,5683,99,217069388,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Normal
72,0.30499336396628707,20,58,0,0,1,41,1,0,1182,403,0,0,0,0,0,0,0,0,0,0,10757,12,784920894,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Normal
1272,1.4399895365256636,20,1272,0,0,0,125,1,0,369,361,0,10543682,0,0,0,0,0,0,0,0,60688,139,367441141,0,0,0,0,3,0,0,0,0,0,211,101,0,0,2,Normal
1378,1.1926265566899557,20,1337,0,0,0,255,6,4,38459,0,658,242141228,1,1,0,0,1,0,0,0,1650,0,0,0,0,0,0,3,1,0,0,0,0,379,2400,2,0,0,Normal
1270,0.9428073089203097,20,1252,0,0,1,56,1,0,0,359,0,0,0,0,0,0,0,0,0,0,18332,240,322912987,0,0,0,0,0,5,0,0,0,0,921,0,0,0,1,Normal
1016,1.1407489564449802,20,977,0,0,1,58,6,10,42663,8657,1364,742388945,0,0,0,0,1,0,0,0,0,0,2280183,44,9,1,1,189,63,0,0,0,144,0,84,0,0,0,DoS_TCP
1129,0.9337599037702581,20,1084,0,0,0,125,17,344,33110,7240,0,2965748,0,0,0,0,0,0,0,0,0,2,3592656,1,0,0,0,0,0,0,0,0,448,411,2664,3,0,3,Ransomware
1008,1.021062759805271,20,989,0,0,1,249,6,0,41415,8266,1451,606151308,1,1,1,0,1,1,6,4,0,0,12660598,100,4,1,2,183,68,0,0,0,406,0,0,0,0,1,Normal
709,0.6961858460385961,20,713,0,0,1,253,1,0,0,0,41,53330816,0,0,0,0,0,0,0,0,27192,247,392064139,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Normal
574,1.097011039013372,20,582,0,0,0,131,17,933,22285,261,31,0,0,0,0,0,0,0,0,0,915,0,3226832,0,0,0,0,5,0,0,0,0,3,0,824,4,0,3,MITM_Attack
480,0.07543207965152801,20,561,0,0,0,255,1,8,0,378,22,19127301,0,0,0,0,0,0,0,0,1904,62,282583997,0,0,0,0,0,3,0,0,0,625,0,8,0,0,0,DoS_TCP
658,0.09970183252841852,20,689,0,0,0,126,1,0,0,0,47,35516106,0,0,0,0,0,0,0,0,52531,247,169093852,0,0,0,0,0,1,0,0,0,335,0,61,0,0,0,Normal
436,0.9182307030047022,20,408,0,0,0,63,17,1260,11040,1110,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,533,0,4961,4,0,0,Normal
547,0.07304199483672766,20,522,0,0,0,254,1,4,328,0,0,0,0,0,0,0,0,0,0,0,1378,66,294088667,0,0,0,0,1,1,0,0,0,0,14,81,0,0,0,DoS_TCP
1484,0.17376498437804147,20,1484,0,0,1,254,17,487,40626,0,2,0,0,0,0,0,0,0,0,0,657,0,2074799,1,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,Normal
1445,0.17490161876450416,20,1402,0,0,1,125,1,0,446,478,19,0,0,0,0,0,0,0,0,0,23239,170,770137499,0,0,0,0,0,0,0,0,0,0,518,6,0,0,2,Normal
765,0.4880626737933424,20,724,0,0,0,61,6,18,53728,386,1253,1834112027,0,1,0,0,1,0,0,0,196,1,0,1,0,0,0,1,0,0,0,0,0,0,282,3,0,1,Normal
356,0.24410540137635747,20,383,0,0,0,255,6,0,50697,0,351,2147136659,0,1,0,0,1,0,0,0,0,3,6027989,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Normal
1474,1.0518735361974474,20,1435,0,0,0,120,1,0,377,755,28,0,0,0,0,0,0,0,0,0,11089,156,874595653,0,0,0,0,0,4,0,0,0,0,428,89,0,0,0,DoS_TCP
975,0.992861981529304,20,975,0,0,0,61,17,1252,31814,343,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,312,0,0,0,0,2,Normal
1476,1.3636840470536151,20,1466,0,0,0,60,6,22,13335,0,666,1814495225,0,1,0,1,1,0,0,0,416,0,15352037,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,Normal
1150,1.2435482560984192,20,1133,0,0,0,63,17,423,2760,0,0,46602196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1710,3,0,3,DoS_UDP
1072,0.9978170848909554,20,1072,0,0,0,56,6,0,51758,0,624,1026722345,0,0,0,1,1,0,0,0,0,0,4799931,1,0,0,0,0,0,0,0,0,397,0,0,0,5,0,Normal
251,0.6549973951886823,20,240,0,0,1,32,1,21,0,0,4,0,0,0,0,0,0,0,0,0,17973,141,933637529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Password
842,0.903522909720091,20,811,0,0,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20783,110,861500118,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,Normal
383,0.2533621015374855,20,328,0,0,0,255,6,0,49454,0,293,2115062917,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,568,0,0,0,2,Normal
884,1.3785921423727265,20,851,0,0,1,255,6,27,55102,4972,597,1610079976,0,0,1,0,1,0,0,0,0,1,2759368,0,0,0,0,0,0,0,2,0,0,0,76,0,0,0,Normal
673,0.8436114014878757,20,628,0,0,0,32,6,0,45242,6093,452,1821045022,1,1,1,0,1,0,0,0,708,3,0,1,0,0,0,0,1,5,1,0,19,0,0,0,0,0,Password
85,1.3548985892789223,20,105,0,0,0,64,17,1341,10306,9533,0,41677741,0,0,0,0,0,0,0,0,0,9,0,61,2,1,3,95,249,0,0,0,0,0,65,0,0,0,Normal
1440,1.002686982343523,20,1434,0,0,1,255,6,16,64405,121,212,1595958748,1,1,1,1,1,0,0,0,0,4,3352782,0,0,0,0,1,0,0,0,0,51,0,782,2,0,1,Normal
990,1.3589645177812204,20,957,0,0,1,120,6,13,37120,8191,1374,298818210,1,0,0,1,1,0,0,0,91,2,2705662,44,3,0,0,142,34,0,0,0,591,615,130,0,0,0,Port_Scanning
934,0.39099059351622933,20,906,0,0,1,128,6,0,12762,38091,1205,427741333,0,0,1,1,1,0,0,0,0,7,2186925,0,0,0,0,2,0,0,0,0,128,0,43,0,0,0,DoS_TCP
571,0.7457520781212846,20,570,0,0,0,255,17,1149,7965,362,0,272959,0,0,0,0,0,0,0,0,1530,0,0,0,0,0,0,0,3,0,0,3,42011,63372,13,0,0,52,Normal
274,1.488729,20,226,0,0,1,255,6,0,55553,43645,1007,874280645,0,0,0,0,1,0,0,0,424,0,0,1,0,0,0,0,2,0,0,0,0,393,0,0,0,0,DoS_TCP
431,0.029381410294593013,20,438,0,0,0,32,6,0,54337,0,627,1126219016,0,1,0,1,1,0,0,0,0,1,32707825,0,0,0,0,0,2,0,0,0,0,236,3678,0,0,0,Normal
1088,0.4164163785702019,20,1067,0,0,1,32,6,17,11789,4916,1263,197465587,1,1,0,1,1,0,0,0,1552,1,5298677,1,0,0,0,2,0,2,0,0,459,132,0,0,0,0,Scanning
1064,0.6392098332449135,20,1046,0,0,0,123,6,0,26879,6290,876,433311613,0,1,0,1,1,0,0,0,10,0,0,0,0,0,0,1,0,5,2,0,0,623,75,0,0,0,Normal
1462,1.3952942109802704,20,1475,0,0,1,116,6,21,52498,5753,539,715210044,0,1,0,1,1,0,0,0,444,0,4053747,0,0,0,0,0,0,0,2,0,771,0,24,0,0,0,Normal
653,1.0921803978535627,20,698,0,0,0,120,1,28,416,148,9,0,0,0,0,0,0,0,0,0,51902,71,631871757,0,0,0,0,0,1,0,0,0,0,330,0,0,0,0,Scanning
1203,0.34125126282425605,20,1177,0,0,1,32,6,8,3076,8111,548,1253236179,0,1,0,0,1,0,0,0,386,0,4731604,0,0,0,0,3,1,0,0,0,0,405,4361,1,0,0,Normal
399,0.0435877786673246,20,423,0,0,1,62,17,998,61739,0,0,19280188,0,0,0,0,0,0,0,0,0,0,5754367,1,0,0,0,2,0,0,0,0,327,0,9,0,0,1,Normal
1394,1.048299756775037,20,1359,0,0,1,252,1,0,0,155,35,34484731,0,0,0,0,0,0,0,0,59399,145,282432626,1,0,0,0,0,0,0,0,0,0,193,6,0,0,0,Scanning
73,0.2469593292903337,20,81,0,0,0,255,6,0,27082,472,1086,1069082309,0,1,0,0,1,0,0,0,0,2,10776003,1,0,0,0,5,2,0,0,0,284,0,2141,3,0,0,Normal
1490,0.8021755846233347,20,1484,0,0,1,120,17,1120,9384,5714,24,44904369,0,0,0,0,0,0,0,0,527,3,0,0,0,0,0,1,3,4,1,0,0,1289,19,0,0,6,Normal
138,1.3775602919847736,20,149,0,0,0,32,17,611,20264,70,0,36375282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,776,0,70,0,1,0,Normal
747,0.3726337888301289,20,771,0,0,0,32,17,1332,47886,9545,25,0,0,0,0,0,0,0,0,0,0,0,0,96,9,0,3,45,160,0,0,0,0,76,0,0,0,4,Normal
599,0.6418827406404186,20,562,0,0,1,126,6,24,37896,0,550,2026614317,1,1,0,1,1,0,0,0,0,0,11468227,0,0,0,0,4,0,0,0,0,786,0,49,0,0,1,Normal
374,0.9260293193683847,20,359,0,0,0,33,6,2,3925,0,435,1566252649,0,0,0,0,1,0,0,0,1017,3,6304945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DoS_TCP
779,0.46351562129841334,20,735,0,0,0,58,6,0,53869,82,1232,1879558977,0,1,0,0,1,0,0,0,290,0,0,1,0,0,0,0,1,0,0,0,0,0,233,3,0,1,Normal
805,1.4743262122544198,20,757,0,0,1,127,1,0,0,0,0,1020087,0,0,0,0,0,0,0,0,2713,159,176905714,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,Fingerprinting
848,0.03192926557671024,20,828,0,0,1,125,6,13,20393,8895,1245,1049393055,1,1,1,0,1,0,0,0,0,0,9793607,69,13,0,1,2,206,0,0,0,0,0,62,0,0,2,DoS_TCP
1472,0.2956687095241962,20,1456,0,0,1,57,1,10,1635,1240,27,20722126,0,0,0,0,0,0,0,0,12887,187,546932285,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,DoS_TCP
1446,0.02519334625163549,20,1456,0,0,0,122,6,8,17109,49831,385,1490795502,0,1,0,0,1,0,0,0,215,2,0,0,0,0,0,3,0,0,0,0,209,659,67,0,0,0,Normal
1463,0.8933591343455612,20,1424,0,0,0,35,1,0,0,134,0,27059881,0,0,0,0,0,0,0,0,50746,219,785298831,0,0,0,0,1,0,0,0,0,613,0,68,0,0,0,DoS_TCP
523,0.4705719364403532,20,467,0,0,1,33,6,17,31089,0,879,1479667743,1,1,1,0,1,0,0,0,147,0,5594938,1,0,0,0,0,1,0,0,0,0,0,22,0,0,2,Normal
1366,1.1115551436228461,20,1290,0,0,0,60,7,3,41212,8822,743,1901416981,0,0,0,0,1,0,0,0,0,0,0,12,10,1,4,116,234,0,0,0,0,142,0,0,0,1,MITM_Attack
1099,0.12034282919896722,20,1109,0,0,1,73,17,969,63533,53,0,0,0,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,2,0,0,0,588,973,2471,2,0,0,MITM_Attack
850,0.5764660277469771,20,821,0,0,1,32,6,0,2355,5086,643,1662534131,1,0,1,0,1,0,0,0,206,2,0,0,0,0,0,0,3,3,0,0,0,396,0,0,0,0,DoS_UDP
883,1.0593417102405205,20,878,0,0,0,123,17,830,14991,119,52,0,0,0,0,0,0,1,6,4,0,0,10909686,0,0,0,0,0,4,0,0,15,56569,51776,0,0,0,10,DoS_UDP
947,0.2257107184968758,20,912,0,0,0,117,1,0,0,331,12,7155220,0,0,0,0,0,0,0,0,3358,125,761323672,0,0,0,0,0,5,0,0,0,224,0,47,0,0,1,Normal
1287,0.09840057119879556,20,1290,0,0,0,36,6,51,44828,692,60,2134337850,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,601,0,0,0,0,0,Port_Scanning
900,1.252114635126246,20,903,0,0,0,124,1,0,613,0,0,3844490,0,0,0,0,0,0,0,0,35564,77,452994451,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,Normal
809,1.112474823544986,20,808,0,0,0,32,6,11,28351,5303,1157,263704700,0,1,0,1,1,0,0,0,0,0,16161130,1,0,0,0,3,2,5,2,0,0,0,0,0,0,0,Normal
1397,0.8677124749908252,20,1431,0,0,1,125,17,1003,5305,49510,0,0,0,0,0,0,0,0,0,0,935,0,12224344,0,0,0,0,0,5,0,0,0,0,281,28,0,0,0,DoS_UDP
625,0.3750945382617306,20,572,0,0,0,133,7,29,14181,459,39,385543757,0,1,1,1,1,0,0,0,881,0,5302238,1,0,0,0,1,0,0,0,0,465,0,2360,4,0,0,MITM_Attack
147,0.5070092022629111,20,101,0,0,1,32,1,0,860,0,19,27097906,0,0,0,0,0,0,0,0,24187,244,230727543,0,0,0,0,3,0,0,0,0,504,0,127,0,0,4,Normal
584,0.6457469946917377,20,590,0,0,1,129,6,10,37577,0,546,1978871706,1,1,0,1,1,0,0,0,0,0,3106524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Normal
556,0.06808912138429273,20,524,0,0,0,255,2,0,0,409,0,0,0,0,0,0,0,0,0,0,1896,71,314042701,0,0,0,0,0,0,0,0,0,0,388,0,0,0,2,DoS_TCP
1208,0.3652407414544607,20,1206,0,0,0,34,6,0,4388,5865,1307,1668110426,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,26,489,0,0,0,2,DoS_UDP
596,0.140367,20,582,0,0,1,128,6,0,47289,502,237,2125625600,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19405,16207,0,0,0,95,Normal
1439,0.19275473546733202,20,1364,0,0,1,252,6,0,14056,33861,1034,810121825,1,1,0,0,1,0,0,0,660,2,3569830,0,0,0,0,3,0,0,0,0,263,179,2,0,0,0,Normal
1473,0.4515530678321809,20,1466,0,0,0,119,6,3,16690,9145,799,1317178224,1,0,0,1,1,0,0,0,924,2,4074984,0,0,0,0,1,0,0,0,0,416,0,3341,2,0,0,Normal
738,1.3812007473354115,20,718,0,0,1,63,6,0,51455,127,638,478399764,0,0,1,1,1,0,0,0,0,0,6775971,1,0,0,0,0,4,0,0,5,36478,11559,77,0,0,17,Normal
