srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.210.22.82,44317,175.242.195.99,53342,icmp,REQ,19.838461585220237,22061,65933,32,69,4,4,ssh,3400156.068712117,1024435.2092930789,114,23,327,0,0,13244030,413.33653033391187,2129.170594243479,4,3640,0.4603,15.178020893136248,1422094638,1422107630,36.73282037936846,391.04251935759805,0.0,0.0029826515527870373,0.0,0,2,0,0,0,11,20,13,4,6,9,13,Normal,0
175.3.104.78,17413,175.108.70.196,21,tcp,REQ,3.8517821877891967,65273,97646,254,71,1,3,http,5416120.439188204,2058296.6026166906,143,169,44971,8256,3173038949,1881275298,297.42984278165966,357.85381777300825,3,674,85.0315496956743,58.99404694260631,1422526095,1422521768,206.78642910424418,313.2630646200089,0.1574091853633276,0.11883319222061761,0.292538296942406,0,1,4,0,0,15,12,3,14,2,4,14,Exploits,1
175.73.224.9,51497,175.64.34.61,21,icmp,CON,11.142165305223994,72156,1831,72,254,2,2,http,4421817.550072855,647615.3178022547,40,138,808,0,57762011,0,2196.6828856647003,95.28489551338535,2,3285,32.89771576988791,27.803831688796716,1422049685,1422068044,20.317156910789016,101.97662964583913,0.0,0.0,0.0001786122313740224,0,4,3,0,0,18,3,9,9,8,4,20,Normal,0
175.201.76.29,46545,175.100.164.75,52295,tcp,RST,2.2126379843102653,78932,64045,32,254,1,2,dns,8664514.042074898,2114655.6114091915,71,133,3908,65269,664753812,2741103904,1092.5503158224735,925.0011479426419,5,2488,26.44168062630937,99.6154,1422295049,1422286317,19.771784316371562,378.16096128565863,0.37451237191196807,0.1365576676140839,0.022687545797968525,0,4,0,0,0,2,5,20,1,10,1,10,DoS,1
175.173.239.34,28465,175.150.199.246,21,tcp,RST,19.468226736743095,44530,58852,70,64,2,5,ssh,7344681.922455627,6562250.148867415,32,41,25324,20751,2709276233,4225099921,1256.780602123829,1105.4530129574478,2,1929,20.542961795787775,6.2636073007570605,1421966369,1421956319,173.2451818556886,123.5718196501821,0.33070929533234955,0.05088896999687464,0.2502843967063643,0,4,0,0,0,2,3,11,14,2,10,8,Generic,1
175.38.230.14,59947,175.135.187.69,675,icmp,REQ,24.111413985358958,46430,87949,120,125,3,0,-,3545292.6411697753,7997774.508660568,36,1,0,739,0,54196,1473.567909677278,88921.7700907679,4,1104,14.249167652722354,86.30183090707486,1422464490,1422478354,406.85871501156345,358.0255616986545,0.0025877237866716537,0.0,0.0,0,0,0,0,0,2,4,13,8,6,7,9,Normal,0
175.198.213.245,50395,175.160.27.4,21,icmp,FIN,19.132395628843902,59326,30187,130,68,5,1,-,2693235.9894809094,1529650.745026686,176,21,1079,821,55024631,0,161.99994529275165,1610.5256013109813,1,1312,74.63418051959083,12.044167757002336,1421961810,1421994733,215.34308441962236,277.7546974912394,0.0,0.0036517661760583353,0.0,0,1,0,0,0,6,19,9,1,6,8,5,Normal,0
175.105.73.164,16424,175.138.230.106,21,udp,REQ,18.08470527530662,3935,76099,65,254,4,0,smtp,6159005.577466034,7651527.612321572,94,108,568,204,91604516,0,0.92,706.232125243271,0,4438,23.478043563903338,13.639229025862194,1422495815,1422496511,499.4549,300.0058915195721,0.0,0.0007437806485795721,0.0046847585403943,0,6,0,0,0,18,17,8,16,4,5,2,Generic,1
175.13.154.53,44084,175.96.200.76,3745,icmp,RST,26.889312861800164,31012,64139,254,32,1,3,dns,6655757.073158109,663394.2565643002,1,97,0,436,0,29396627,7822.650260269167,1219.7026963933458,2,1041,37.18737293401626,84.36517582619001,1422373631,1422389380,177.2694812355763,335.50393076131814,0.0,0.0,0.0,0,6,0,0,0,17,3,1,19,2,1,9,Normal,0
175.85.95.86,2321,175.233.72.247,533,tcp,INT,13.472372655209867,2720,23204,129,32,1,5,ftp,7738636.405703726,86247.8635362571,92,121,1180,65269,3836649535,2002726392,0.92,274.0231998720406,0,162,55.90800754577444,99.6154,1422179031,1422174804,270.84300459791655,83.78316970373456,0.08069807467006682,0.02178666930307155,0.08725547441494179,0,5,0,0,0,15,12,18,9,8,5,12,Generic,1
175.161.74.209,45985,175.151.112.128,541,tcp,RST,18.089943532347547,19896,99677,32,127,2,4,-,9803277.639688648,1069241.5001643226,180,145,62069,27789,2130516859,1621940731,221.72276070374204,777.3015003685935,2,1158,81.84792924051057,20.728013124247507,1422172740,1422181995,348.7556106495396,12.190482897329723,0.4273801014318886,0.05627526409998087,0.13642528436091753,0,3,0,0,0,10,6,1,18,7,6,14,Reconnaissance,1
175.249.132.88,57625,175.181.23.198,21,tcp,RST,26.44654892721293,91285,66079,32,36,3,3,ssh,9560798.895678809,7516189.0208420195,27,159,12277,6015,2151405477,1602237191,3147.231698135517,169.57625450993618,5,2282,72.94206848785795,76.2536991381678,1422464693,1422469920,363.43876201211367,59.04980037789637,0.3323557233402477,0.09481270420936158,0.046282389290778526,0,6,0,0,0,7,15,14,1,4,8,11,Normal,0
175.228.191.101,1761,175.237.77.89,21,tcp,RST,8.64397210434186,11073,14705,64,130,2,2,ssh,4629805.483103938,2373204.089953938,126,95,61933,13667,2985021909,1378636596,179.45322107487513,0.01,2,407,81.56213915476114,12.606453415093025,1422295627,1422294401,320.01544456525136,335.8355598986966,0.08441371912540056,0.2959454874261322,0.07815427142304489,0,1,0,0,0,18,6,11,18,7,8,8,Normal,0
175.124.4.249,38940,175.21.243.177,21,icmp,FIN,22.880870814633123,33869,19618,251,32,5,4,-,3514253.2863701126,9850760.114779843,194,163,320,0,0,19138549,194.32391070966153,250.77062040077237,0,479,35.33301565667876,15.551722954578572,1422501394,1422515416,401.9290345137344,52.9782934865698,0.003692720628817351,0.0,0.0,0,1,0,0,0,11,18,12,15,4,1,14,Normal,0
175.207.81.100,15706,175.235.7.136,146,icmp,CON,16.954489096532757,67723,83574,33,254,4,5,-,6632039.267670572,4984979.475209236,152,12,1183,2184,0,0,606.0358215717113,4528.3531593879,2,220,39.42686457043349,60.34670902668202,1422105816,1422148125,176.82450146713393,417.86205071815556,0.0028041983995262744,0.005879683784477373,0.0,0,4,0,0,0,15,13,1,20,4,3,2,Normal,0
175.76.155.22,51771,175.127.60.143,526,icmp,FIN,18.447965838822757,82166,27436,254,247,3,2,smtp,8590254.885748688,9904137.840612018,76,148,1187,737,57923596,64860448,1161.3422361138464,186.56568415125625,4,538,59.830461077653055,72.96436783455361,1422133724,1422154737,307.2882399584282,136.5543502454436,0.01058927562118038,0.0,0.003976899669095453,0,0,0,0,0,6,8,6,18,2,3,1,Normal,0
175.188.4.133,34309,175.74.29.61,54020,icmp,INT,16.39149627509141,7860,54064,124,58,1,5,dns,9006340.757604012,8098639.8665090455,86,49,288,212,3484864,40827950,173.74553664167806,967.56398129239,5,4078,68.11586188452499,97.1855721990088,1422261483,1422278361,422.4794763791834,286.4803914442672,0.00010275447831199228,0.0,0.0,0,2,0,0,0,20,10,14,11,3,2,15,Normal,0
175.122.124.141,4843,175.81.246.99,130,udp,REQ,24.274515465135604,78844,57343,254,126,4,5,-,2371585.3872427735,6884256.846215855,16,185,0,759,0,38197021,3862.481918786803,288.09243731199746,5,4705,83.13201227356562,11.135494066977348,1422426083,1422436756,164.93766457216446,45.61352514811519,0.006964973040690023,0.003882102787044778,0.0,0,3,0,0,0,6,10,13,3,10,2,20,Fuzzers,1
175.159.174.194,59165,175.81.11.8,631,udp,CON,17.309065168969866,32706,40845,254,35,5,0,ftp,8413885.16535169,2309726.837537762,134,93,0,0,76664427,2183180,211.19648855752257,653.9538031967984,0,387,72.61689650118416,94.62164729743546,1422401783,1422407451,156.70295178724274,373.51006673996505,0.006231380092846126,0.0,0.002676818291366193,0,3,0,0,0,8,19,18,18,10,4,12,Normal,0
175.119.194.175,12084,175.199.242.68,34436,udp,INT,12.961706906061101,38112,57394,254,123,4,5,-,9705243.733094623,1125772.9423657588,134,160,0,0,0,0,91.97189750456957,858.158356359989,2,3377,61.225614189942526,64.56223454570441,1422196778,1422238744,166.1994078588873,129.0169419065176,0.0008311886640805846,0.0,0.0,0,0,0,0,0,9,20,13,15,4,10,7,Normal,0
175.189.11.191,60871,175.199.98.218,22,icmp,REQ,11.07193,31407,22965,254,64,2,1,ftp,2929819.1566,8944456.5796,53,148,0,0,0,0,592.58,155.17,3,3761,24.5047,60.3249,1422181047,1422192118,398.3768,486.4026,0.0,0.0,0.0,0,4,0,0,0,20,11,6,8,8,2,1,Normal,0
175.145.223.163,53501,175.145.50.23,21,icmp,REQ,2.986464322932078,3007,78875,254,32,3,5,-,7619989.850813167,9212645.549512986,28,158,1965,0,67280671,0,265.15939516640555,505.7267660033534,3,4200,57.982355726609185,1.9604481710356947,1422253868,1422243375,418.54493478037233,101.80566776919869,0.01791033140364803,0.0,0.0050074045543086025,0,6,0,0,0,15,18,13,4,4,8,4,Normal,0
175.139.138.6,46119,175.245.32.188,364,tcp,CON,1.7967418713736412,87331,51122,35,32,3,3,-,8283228.498903483,4023165.3176417267,6,146,5664,7855,3870290720,3055232466,21998.07481408663,245.48697661494165,5,4072,20.825567547346235,26.795471448768605,1422226234,1422205770,482.2644560915559,95.19008047383286,0.3503807650282738,0.24917840617447296,0.2953516232926533,0,0,0,0,0,19,14,18,16,4,1,10,Normal,0
175.136.10.179,22057,175.240.11.253,21,udp,REQ,11.86398492783695,72539,11964,249,32,5,5,-,1785135.2963590932,5032170.107215531,197,166,0,1562,0,0,343.25776803959985,88.48359508915001,2,1300,58.046911282518195,37.13720889892118,1422393979,1422399256,110.3813527857356,325.1103403433498,0.0,0.0002399799130162948,0.006216763945688168,0,6,0,0,0,3,18,7,10,5,1,10,Normal,0
175.242.254.46,41350,175.81.22.14,21,tcp,FIN,5.744668408556035,32983,44084,252,34,0,5,smtp,730949.0197695862,5250550.756910271,42,8,62260,14703,2366496479,1814059096,771.8982371005133,5384.17033639835,5,2685,22.390242288292313,12.442172576313425,1422156661,1422161680,45.20238295653109,373.81912972684046,0.4468631358164705,0.1138256932798856,0.07441007465975949,0,3,0,0,0,19,16,2,14,3,4,20,DoS,1
175.3.104.78,18531,175.108.70.196,511,tcp,REQ,3.605622335311394,67169,96515,251,56,1,3,http,5465537.075388172,2166080.958705621,144,173,45165,9460,3196614017,1842730472,615.0842068827089,936.821784243595,3,669,85.97652385360277,57.55693050230296,1422531520,1422522887,207.6304872878656,323.1603643000122,0.14891412564730191,0.12731089289588732,0.29223921095007543,0,1,4,0,0,15,12,3,14,2,4,14,Exploits,1
175.122.124.141,5224,175.81.246.99,580,udp,REQ,23.919603886732638,77398,58044,254,129,4,5,-,2208609.8579934067,6697410.449554391,14,186,0,115,0,0,4042.186505229145,133.98348068017475,5,4765,85.14444578982493,10.989719632015364,1422416948,1422436649,158.06743378751418,50.60230075512736,0.0,0.0,0.0,0,3,0,0,0,6,10,13,3,10,2,20,Fuzzers,1
175.132.156.182,11300,175.116.216.239,80,udp,REQ,15.645031,16441,97404,64,254,4,0,-,2189064.1296,1836937.7272,191,144,0,0,0,0,86.08,676.42,4,632,81.6559,46.8436,1422255817,1422271462,326.35,202.5499,0.0,0.0,0.0,0,3,0,0,0,6,2,12,14,4,5,4,Fuzzers,1
175.25.191.147,62562,175.242.110.195,21,icmp,RST,22.07045353524284,22061,36619,32,254,1,5,ssh,2911385.4368837946,15809.1723,61,5,73,0,0,94992471,446.2081396918918,7213.830549071903,3,967,27.680417582184216,47.15878500438152,1422247965,1422275901,48.99555661517118,113.48147025710635,0.0,0.0057967836041195545,0.0,0,5,0,0,0,11,8,3,20,5,10,15,Normal,0
175.201.43.79,28379,175.107.176.55,21,tcp,FIN,25.543941682465853,18339,20081,57,67,4,2,http,1554266.1291912887,1766615.3698510302,146,14,60319,8709,194775933,513245162,36.50354543705535,1656.3957787016996,5,4806,47.199516971694386,33.63220073651555,1422071974,1422097595,336.18047085412076,120.0512396146945,0.14070420982563803,0.02403227684804082,0.05597783313155753,0,3,3,0,0,11,20,10,19,3,10,18,Normal,0
175.162.0.103,3835,175.95.121.95,21,tcp,REQ,26.241715213687044,86858,46763,254,254,5,4,http,3279000.4447845,4455762.558514084,8,8,17493,21548,2249148352,1626658001,8816.900457562295,5577.676720796278,2,1546,94.15353498079584,41.53066646722946,1422326939,1422373508,96.29566574365381,177.45601982404867,0.4011449769014281,0.0831995095828287,0.18687946576665618,0,5,1,0,0,17,19,9,13,4,4,18,Normal,0
175.33.158.102,27856,175.245.210.197,25,icmp,CON,2.212521,41593,84192,32,254,3,5,ftp,5173600.1182,1283346.1075,200,142,0,0,0,0,207.97,592.9,5,4815,18.1963,96.6265,1422381047,1422383259,251.4319,434.1058,0.0,0.0,0.0,0,6,0,1,1,10,6,6,11,4,6,17,Normal,0
175.117.57.144,42617,175.245.202.233,21,tcp,CON,21.708322985014878,19786,9138,62,67,1,1,http,8980914.315606136,5447792.854422564,157,142,10089,31483,328555865,374854627,120.39043004152957,168.08192050235243,2,2780,57.025354866447046,83.61497221408302,1421977965,1421994039,214.10071529011913,416.9340899036431,0.09530013993612413,0.25134091840817224,0.06751963288903551,0,5,0,0,0,17,5,20,16,2,7,18,Normal,0
175.52.175.252,15484,175.43.88.11,21,tcp,FIN,29.983354,69481,66268,61,134,2,2,-,3741078.1735888124,7717341.131470103,176,154,6910,45041,341918123,2830090045,509.0057872116571,455.0728220014551,2,2172,71.75532677679007,64.81176811119617,1422077534,1422122028,171.70694344754685,286.8833952235941,0.07800970884403133,0.10062868393139845,0.2848165720143339,0,5,0,0,0,13,5,20,3,5,9,13,Normal,0
175.191.202.151,22541,175.51.172.78,981,icmp,INT,21.446267674894717,58083,83455,248,124,1,5,ftp,9603599.61470527,6649797.831587568,153,96,0,0,0,0,205.04792069769843,690.8787475759285,1,4814,80.57460893881954,38.48951590672373,1422224347,1422260142,67.8702956893793,375.2449317495863,0.0,0.0,0.0,0,5,0,0,0,13,19,2,6,10,6,20,Exploits,1
175.201.191.204,10478,175.173.187.194,25,tcp,CON,15.273675,65586,5276,32,32,1,5,ftp,3330407.0535,4737441.504,117,39,18321,42987,1368076065,3618947732,560.56,135.28,4,2755,50.7315,50.9714,1422441055,1422456328,354.3699,149.8953,0.407874,0.110507,0.202142,0,3,0,0,0,1,20,16,9,10,10,8,Normal,0
175.47.42.63,48844,175.48.232.98,1762,tcp,REQ,18.217414938996274,62691,3450,135,130,4,5,dns,8898763.868842972,2015421.3241811593,102,26,671,17241,2129697229,781001020,680.4675339036557,241.1584096760828,2,4803,38.4922629204095,94.44755809856123,1421971944,1422004969,122.52242324988612,64.2889107088442,0.2509885257628426,0.05715368641629735,0.13963920737888907,0,6,0,0,0,6,2,10,20,6,7,4,Reconnaissance,1
175.3.139.93,35589,175.66.120.217,21,icmp,CON,25.375228606078444,43212,53579,57,59,2,4,-,8209668.2249864405,8068691.58554144,108,114,271,0,0,0,329.82972590388096,91.52584758887122,0,2747,85.32103642131993,58.705930706571735,1422372810,1422390534,406.2489762976092,245.12609680991412,0.0,0.0,0.00022061285401395566,0,3,0,0,0,9,10,6,5,8,6,17,Normal,0
175.158.225.9,61295,175.186.67.24,282,icmp,FIN,23.417385018982454,23507,24161,62,120,4,4,http,8752718.410389952,8235891.3448391715,72,124,167,0,0,31272137,577.7179012351592,61.95139808096849,2,2736,79.68286196523476,46.22545644377064,1422000357,1422027935,73.63397756331935,490.01648450652965,0.0,0.0,0.0,0,6,5,0,0,13,18,12,3,7,1,9,Generic,1
175.123.91.213,64519,175.141.169.186,21,tcp,FIN,17.89821572165906,91190,8332,126,32,2,5,-,6375496.7405772805,9836101.389292832,75,61,28498,26838,1454058215,3029402437,1236.9722271603594,0.01,3,1821,80.0690468856347,80.39015707675881,1422017289,1422032482,49.7184535614571,309.8179062259033,0.2574111758542467,0.2186193704041694,0.23886793161235717,0,4,0,0,0,2,20,7,8,10,2,7,Normal,0
175.30.252.65,24113,175.210.159.190,510,icmp,RST,1.177562760092738,90898,73680,253,32,2,5,ssh,2050210.8411552357,5305362.609434459,130,146,99,51,36446127,53076191,624.5988984569498,778.2202382849308,3,2583,95.4258305828285,24.730507885749056,1422417665,1422409705,372.12626305013004,250.23914888825146,0.0,0.001730488034930218,0.001547876731048339,0,6,0,0,0,3,4,14,4,7,3,1,Normal,0
175.172.193.122,43870,175.67.70.130,29799,icmp,INT,13.339612617357343,60691,19383,129,32,4,5,-,6546367.1850835215,3664783.0174571257,99,93,0,702,0,0,583.8260111659141,663.2952681292239,4,325,94.32435233173031,90.47461206353297,1422235763,1422238914,325.4586691640469,435.30568748961446,0.003700484249279666,0.0,0.005968226615194077,0,5,0,0,0,1,19,10,18,2,9,2,Normal,0
175.26.170.3,27424,175.52.221.251,756,tcp,INT,21.316726139087184,79042,95028,128,32,3,3,-,4746293.35503527,5941578.677648281,156,174,63654,29916,3092268520,2366402727,855.6089583962364,449.51203472490766,3,4658,29.95084348019297,8.863893461787349,1422362427,1422391831,452.7720321169635,50.34578903329327,0.3110962964189329,0.19942659120868841,0.13601088694898822,0,3,0,0,0,1,7,9,7,8,6,15,Normal,0
175.214.205.227,21431,175.155.160.233,445,icmp,FIN,8.307794681722052,68546,81745,65,253,3,5,dns,2246539.670989758,5416500.89248161,157,169,536,0,0,0,322.834998874982,739.904985386181,3,2771,89.71942976293943,78.78592206866163,1422358034,1422361043,380.6694425151166,435.8760148364217,0.002178177439228103,0.0013954561147790593,0.0,0,0,0,0,0,2,18,11,13,3,9,18,DoS,1
175.81.204.219,60172,175.37.114.100,21,tcp,INT,2.5245002763129256,58358,63812,254,32,0,1,-,7471286.26558118,9261425.817956015,102,197,56013,27036,1683011247,268445375,644.002207063341,139.03686480927558,2,4969,49.77810926736584,69.62176644296602,1422420668,1422414945,61.69174068320409,234.88661589195345,0.27417256366496356,0.28122263428384553,0.042842976590075584,0,1,0,0,0,11,19,2,20,7,1,12,Normal,0
175.16.220.226,22455,175.60.196.116,21,icmp,INT,13.53488219508836,7309,4711,72,132,5,1,http,4752375.138449783,1399052.4109414492,181,106,351,0,0,23012995,126.57721627135521,186.27296302808097,3,977,58.25702399538744,47.711710418454565,1422515955,1422523097,343.4720726565769,285.01762946966664,0.008159372310601072,0.0,0.002516850241525034,0,3,4,0,0,6,17,3,13,5,8,19,Fuzzers,1
175.6.4.246,46830,175.54.173.219,784,tcp,INT,3.987003642183691,99864,73164,254,64,2,2,smtp,4743721.187654044,2517092.7001564694,140,178,34643,17069,173274885,2381755760,685.3106031876601,0.01,0,4171,89.51320162550024,44.325824348454944,1421928298,1421931414,456.55660999964573,9.036760981453666,0.20538536674523003,0.03824796329260102,0.19068129170760767,0,1,0,0,0,13,4,16,7,2,4,4,Reconnaissance,1
175.13.232.133,10171,175.168.98.28,320,icmp,FIN,20.68200836360854,77142,26003,67,134,2,3,-,5111247.639278795,6169167.740179653,51,63,1566,0,0,0,1398.5659622282765,58.599215441483864,1,366,6.668033970926804,31.10544745196042,1422374818,1422406285,260.1306786786112,331.26856730147017,0.0,0.003964916682022381,0.0,0,2,0,0,0,10,19,18,5,3,8,10,Normal,0
175.8.170.215,39413,175.162.86.232,21,icmp,INT,15.347486102244021,86840,52850,252,32,0,1,ssh,8215832.192271639,5011675.796148413,189,68,462,210,0,23625288,569.9107577933299,1111.267983512256,0,1374,45.734691974085735,25.43167128428378,1422133509,1422156018,335.99518672912234,206.86913325967097,0.0057410332220222396,0.002185329636701649,0.0,0,5,0,0,0,1,11,10,18,6,2,11,Normal,0
175.58.19.48,38397,175.225.162.11,21,icmp,FIN,1.6515315835295439,93376,36193,133,32,5,2,ssh,5462109.711650073,429750.6948644982,60,91,1335,0,0,0,1578.2002361215384,185.71104227979475,0,589,50.39227129415408,13.121314186559806,1422005775,1422005359,119.99210408595437,156.24638931409189,0.0,0.001513701633143126,0.0049780761755346984,0,2,0,0,0,14,3,14,10,3,1,11,Normal,0
175.68.97.215,38029,175.32.64.52,9579,tcp,RST,19.336189448938285,82218,40017,32,37,3,5,ftp,304287.3003227911,981481.9865106944,63,107,34713,65269,620936454,2018774927,1490.687188897617,678.8809810512316,0,4231,19.4823671849705,47.6470410973593,1422470761,1422493417,367.2337321162442,336.3924493167251,0.08497650578456734,0.048394350253938075,0.10596448590771408,0,3,0,0,0,12,18,9,16,3,7,5,Normal,0
175.128.48.154,62113,175.166.198.174,64005,udp,FIN,20.990517161009308,43591,25031,132,253,0,2,smtp,231026.01102011747,9038400.479295917,116,96,0,1487,0,0,341.5053405446317,553.5813776365051,4,1904,50.6899866623493,72.72409959521933,1421928298,1421962925,118.41094786521427,311.6712872247217,0.00761892438600043,0.0,0.0042712798052696125,0,0,0,0,0,10,8,14,8,10,2,2,Normal,0
175.172.14.127,16171,175.166.93.125,23046,tcp,REQ,8.138210451828915,37295,78532,126,35,4,1,-,793663.741153458,7153481.905731231,127,142,32617,62139,2068960502,3319617764,177.3147502537902,1210.532067248044,0,2490,21.525273167341265,68.04667750282776,1422248533,1422246025,339.63688930416595,169.62434726080886,0.26614608307120907,0.10335623170015451,0.299468,0,4,0,0,0,11,12,15,9,5,5,8,Normal,0
175.199.2.206,61701,175.46.74.121,22,icmp,FIN,2.644221,34523,29067,128,32,4,0,smtp,7244947.1343,9306849.9107,103,158,0,0,0,0,335.17,183.97,5,4268,28.6469,96.353,1421987668,1421990312,472.8579,410.1144,0.0,0.0,0.0,0,5,0,0,0,16,15,1,7,9,5,7,Exploits,1
175.64.46.45,5701,175.104.120.130,188,icmp,CON,13.06899083906569,21356,94996,69,59,3,1,ssh,6136932.85113235,2853966.2050810363,150,111,280,1175,0,0,192.32780110250434,924.0268337525272,5,1755,29.220127749897085,79.58418684930609,1421996214,1422031033,488.8595102727056,172.82052963351438,0.0,0.004350050565979103,0.0,0,3,0,0,0,6,16,15,14,9,10,14,DoS,1
175.199.2.206,61364,175.46.74.121,21,icmp,FIN,3.018102410952515,35427,28584,127,39,4,0,smtp,7222749.693128852,9540364.406388655,105,160,707,768,21615949,0,493.2995063155933,79.51485638082298,5,4234,31.01035265431366,97.63738644400475,1421996939,1421994593,463.15918461735464,411.2557549444295,0.0008153245574084921,0.0,0.0039311587310563115,0,5,0,0,0,16,15,1,7,9,5,7,Exploits,1
175.160.48.99,34622,175.75.164.21,21,icmp,REQ,18.0673737522424,93324,32869,32,248,3,1,http,7757506.823733539,2963617.237336584,36,89,0,500,17620412,19601676,2476.4526704877403,224.10502547792882,0,3894,22.247959945094113,63.191234961094096,1422263403,1422297843,172.74803427051575,315.7353584491518,0.0035447044276268424,0.0,0.007285821608261675,0,4,1,0,0,9,12,16,11,10,9,7,Normal,0
